date,time,photos,event,key_details,platforms,promote_from,post_type,enhance,fb_caption,ig_caption,scheduled_time,generated_image,status
2026-07-11,,pool_default_art.jpg,Pool Night,"open pool tournament, winner plays the bartender for a flight",both,,today,text_overlay,"Pool tables are open and the bracket starts tonight. Open pool tournament at Backyard Brew, winner earns a shot at the bartender for a full flight — bragging rights included. We're open 11am to midnight (breakfast till 1pm if you're starting the day right), so there's plenty of time to warm up before the real games begin. Bring your A-game, because word around the bar is our bartender does not lose easy. Beer Club members get $1 off all night for parties like this — $200 a year and you're basically playing with house money. Drop a comment: who's actually beating the bartender tonight? We want names.",Pool tournament tonight 🎯 winner plays the bartender for a flight. Open 11am-midnight. Who's brave enough? Drop your name below 🍺,2026-07-11 11:00,,needs_review
2026-07-11,,pool_default_art.jpg,Pool Night,"open pool tournament, winner plays the bartender for a flight",both,,teaser,text_overlay,"Tomorrow at Backyard Brew -- Pool Night! open pool tournament, winner plays the bartender for a flight. All Wisconsin-made drinks, disc golf & hiking out back. See you there!",Tomorrow: Pool Night 🍺 open pool tournament. Come hang.,2026-07-10 19:00,,needs_review
2026-07-13,,bingo_default_art.jpg,Bingo Night,"10 rounds themed bingo, 6:30pm, free with beer purchase, themed prizes, beer prizes, food prizes, and a chance to win cash, kids welcome w/ soda purchase, name that tune during half time",both,,today,text_overlay,"Ten rounds of bingo tonight and the prize table is stacked. Free to play with any beer purchase, cards drop at 6:30pm. We're talking themed prizes, beer prizes, food prizes, and yes — actual cash on the line. Bring the kids too, a soda purchase gets them in on the fun. Halftime means Name That Tune, so warm up those vocal cords. Doors open at 4pm, bingo starts at 6:30, and we close up at 9. Grab a 100% Wisconsin brew and grab a seat before they fill in. Beer Club members already get $2 off that first beer every night, just another reason to make Monday a regular thing. What's your lucky bingo number tonight? Drop it below before you head in.","Bingo TONIGHT, 6:30pm 🎯 10 rounds, cash prizes, beer + food prizes, free with any beer purchase. Kids welcome w/ soda. Halftime = Name That Tune. Doors open at 4 🍺",2026-07-13 11:00,,needs_review
2026-07-13,,bingo_default_art.jpg,Bingo Night,"10 rounds themed bingo, 6:30pm, free with beer purchase, themed prizes, beer prizes, food prizes, and a chance to win cash, kids welcome w/ soda purchase, name that tune during half time",both,,teaser,text_overlay,"Tomorrow night, the bingo boards come out. 10 rounds of themed bingo kicking off at 6:30pm, free to play with any beer purchase. We're loading up the prize table this week with themed goodies, beer prizes, food prizes, and actual cash on the line. Kids are welcome too, just grab them a soda and they're in. Halftime means Name That Tune, so bring your music brain. Doors open at 4pm, bar closes at 9. Drop your lucky bingo number in the comments, we might call it first tomorrow. Beer Club folks, don't forget your $2 off that opening pour.","Bingo's tomorrow. 10 rounds, cash prizes, beer + food prizes, free with a beer. 6:30pm. Kids welcome. Comment your lucky number 🎯🍺",2026-07-12 19:00,,needs_review
2026-07-14,,pickleball_default_art.jpg,Pickleball Open Play,"free w/ beer purchase, 6:30pm, random doubles tournament, winner gets free beer, enter by 6:40pm or auto-placed in losers bracket",both,,today,text_overlay,"Tonight at Backyard Brew -- Pickleball Open Play! free w/ beer purchase, 6:30pm, random doubles tournament, winner gets free beer, enter by 6:40pm or auto-placed in losers bracket. All Wisconsin-made drinks, disc golf & hiking out back. See you there!",Pickleball Open Play tonight 🍺 free w/ beer purchase. Come hang.,2026-07-14 11:00,,needs_review
2026-07-14,,pickleball_default_art.jpg,Pickleball Open Play,"free w/ beer purchase, 6:30pm, random doubles tournament, winner gets free beer, enter by 6:40pm or auto-placed in losers bracket",both,,teaser,text_overlay,"Tomorrow at Backyard Brew -- Pickleball Open Play! free w/ beer purchase, 6:30pm, random doubles tournament, winner gets free beer, enter by 6:40pm or auto-placed in losers bracket. All Wisconsin-made drinks, disc golf & hiking out back. See you there!",Tomorrow: Pickleball Open Play 🍺 free w/ beer purchase. Come hang.,2026-07-13 19:00,,needs_review
2026-07-15,,poker_default_art.jpg,Tacos + Poker Club,"beef tacos, quesadillas, loaded nachos all day; poker starts 6pm, free to play with beer purchase",both,,today,none,"Beef tacos, quesadillas, loaded nachos — all day, starting the second we open at 4. Grab a plate, then stick around because Poker Club deals in at 6pm. Free to play, just buy a Wisconsin beer and you're at the table. Backyard Brew is the only spot in Green Bay where you can throw discs, hit the trails, and go all in on a poker hand in the same night, all on 35 acres. Beer Club members get $2 off that first pour, which makes the tacos taste even better. Doors close at 9, so this isn't a someday thing — it's a tonight thing. Tag the friend who always folds too early. Tonight's their redemption round.","Tacos, nachos, quesadillas all day 🌮 Poker Club deals in at 6pm — free to play with a beer in hand. Tonight only, doors close at 9. Tag your card shark 🍺",2026-07-15 11:00,,needs_review
2026-07-15,,poker_default_art.jpg,Tacos + Poker Club,"beef tacos, quesadillas, loaded nachos all day; poker starts 6pm, free to play with beer purchase",both,,teaser,none,"Heads up: tomorrow is tacos and poker night. Beef tacos, quesadillas, and loaded nachos all day starting at 4pm — then at 6pm the cards come out. Free to play with any beer purchase, and every beer on tap is Wisconsin-made, because that's just how we roll. Grab some food, then grab a seat at the table. Course members already know Wednesdays hit different — unlimited disc golf and hiking plus a free tap beer every month for $150 a year. We're open 4-9pm. Drop a comment: nachos or quesadillas first?","Tomorrow: tacos all day, poker at 6. Free to play with a beer in hand. Nachos or quesadillas — comment your pick 🎯🍺",2026-07-14 19:00,,needs_review
2026-07-16,,line dancing_default_artpg,Ladies Night + Line Dancing,"Ladies Night: Half off first beer if you bring a girl friend, Half off a pitcher with 4+ ladies, specialty deal for ladies changing every week Line Dancing: Starts at 8pm, fun for all skill levels, wide variety of genres, bring all your friends",both,,today,text_overlay,"Grab your girls, tonight's the night. Ladies Night kicks off the second we open at 4pm — half off your first beer if you bring a friend, half off a pitcher if you roll deep with 4+ ladies, plus a new specialty deal for the ladies that changes every single week. Then at 8pm the boots come out for Line Dancing, all genres, all skill levels, zero experience required (we mean it). Bar closes at 9pm so don't sleep on this one. And hey, Course Members get free tap beer every month if you want another reason to make Backyard Brew your regular Thursday spot. Tag the friend who owes you a dance tonight 🍺","Ladies Night + Line Dancing, tonight only. Half off beers, boots at 8pm, doors close 9pm. Tag your dance partner 🎯🍺",2026-07-16 11:00,,needs_review
2026-07-16,,line dancing_default_artpg,Ladies Night + Line Dancing,"Ladies Night: Half off first beer if you bring a girl friend, Half off a pitcher with 4+ ladies, specialty deal for ladies changing every week Line Dancing: Starts at 8pm, fun for all skill levels, wide variety of genres, bring all your friends",both,,teaser,text_overlay,"Heads up, ladies — tomorrow's the night. Bring a girlfriend and your first beer is half off. Roll deep with four or more and a whole pitcher goes half price. There's also a new specialty deal just for the ladies that changes every week, so even our regulars get surprised. Once 8pm hits, the floor opens up for line dancing — every genre, every skill level, two left feet totally welcome. Beer Club members, you already know your birthday pitcher's waiting whenever that day comes, but tomorrow's deals are for everybody. We're open 4-9pm Thursday. Drop a comment and tell us who's teaching you the moves tomorrow night.","Tomorrow: girlfriends drink half off, groups of 4+ score a half-off pitcher, and boots hit the floor at 8pm 🍺🎯 Who's your ladies night crew? Tag them below.",2026-07-15 19:00,,needs_review
